Date,Platform,Region,Age_Group,Device_Type,Content_Type,Followers,Likes,Comments,Shares,Impressions,Reach,Clicks,Engagement_Rate,Growth_Rate,Hashtag,Post_ID
2024-12-31,Instagram,USA,55+,Web,Image,146748,15575,1531,673,13863,66369,2625,9.0,9.77,#Reels,1
2025-01-17,Twitter,UK,13-18,Web,Reel,29741,16787,3946,1632,1841574,1097110,1236,3.38,7.98,#Reels,2
2024-11-18,Facebook,Canada,45-54,Android,Short,90480,12011,2563,2832,1634476,298698,3340,18.67,11.9,#Digital,3
2025-04-21,TikTok,Canada,45-54,Web,Short,128874,3953,1289,1564,847076,254844,3972,10.0,1.23,#Tech,4
2024-04-08,Facebook,USA,13-18,Web,Reel,170875,1195,279,1047,1118414,1761349,700,0.92,11.43,#Trending,5
2024-08-18,LinkedIn,UAE,25-34,Tablet,Short,1751,14086,3505,1906,760160,737757,2180,2.91,9.83,#Digital,6
2024-01-18,Instagram,Canada,18-24,Tablet,Carousel,82469,17591,1066,1706,646218,1415940,4073,10.37,0.19,#Tech,7
2024-03-24,TikTok,India,45-54,Tablet,Carousel,19400,13406,729,238,1085382,642570,739,9.31,6.14,#Reels,8
2024-04-16,TikTok,Canada,45-54,Android,Image,121313,2917,3816,1690,348752,105909,194,17.32,1.07,#Marketing,9
2024-05-03,Instagram,UAE,18-24,Tablet,Carousel,80760,19112,2887,1877,827473,1166980,2045,17.47,1.85,#Reels,10
2024-02-27,Instagram,India,45-54,Web,Carousel,180951,14495,3522,681,1846000,641455,353,19.08,5.19,#AI,11
2024-08-02,Facebook,Australia,35-44,iOS,Reel,103120,18739,2501,2921,253894,1388783,4406,9.76,2.25,#AI,12
2024-08-13,YouTube,Canada,35-44,Web,Short,146422,19347,1506,2230,1183458,910358,1270,19.16,10.77,#Tech,13
2024-04-06,Instagram,Canada,45-54,iOS,Image,163834,10345,4014,57,1155775,662192,3228,6.48,1.28,#Shorts,14
2024-04-23,Twitter,UK,25-34,Tablet,Video,51865,8542,4666,632,452195,1632134,3997,1.7,7.09,#Marketing,15
2024-05-06,YouTube,Australia,35-44,Web,Video,99283,13999,3600,1630,1710998,1061452,1308,11.01,1.98,#Viral,16
2024-02-17,TikTok,USA,25-34,Web,Reel,139519,10993,921,1905,702973,1593745,3389,4.82,7.21,#Tech,17
2024-03-14,Facebook,USA,13-18,iOS,Image,15667,9298,3321,1192,477506,361033,578,19.15,7.62,#AI,18
2024-02-02,Instagram,India,18-24,Android,Carousel,55666,3567,4991,1548,248523,489494,3243,9.72,3.08,#Reels,19
2025-03-06,LinkedIn,Canada,45-54,Web,Carousel,40677,18007,3151,1915,717677,109719,1950,4.27,10.75,#AI,20
2024-08-12,Instagram,Canada,35-44,Web,Video,95056,11345,1201,399,522191,520362,562,4.14,9.44,#AI,21
2024-04-21,LinkedIn,UAE,55+,Android,Carousel,43761,16769,1691,2918,1293607,1404536,3276,4.33,5.95,#Tech,22
2025-02-13,YouTube,Canada,25-34,Android,Image,161727,3826,1157,64,1789428,1713155,4227,2.17,10.01,#Tech,23
2024-12-05,Facebook,UK,45-54,Android,Carousel,111666,11501,4388,22,771812,1308181,665,7.98,2.86,#Marketing,24
2024-11-30,TikTok,USA,13-18,Tablet,Video,45320,19742,3492,1555,180721,1086262,1892,7.26,7.49,#Shorts,25
2024-09-10,YouTube,Canada,13-18,Web,Carousel,176994,15667,2004,1942,276861,738620,1156,8.93,1.21,#Viral,26
2025-02-24,Instagram,Australia,35-44,Tablet,Image,77940,1630,2697,1139,646154,1549254,2825,12.7,6.22,#Reels,27
2024-04-06,Instagram,USA,45-54,iOS,Image,169644,3781,3966,997,200199,890547,2680,10.45,4.16,#Tech,28
2024-07-27,YouTube,UAE,45-54,Web,Carousel,35467,15996,952,1621,472678,1642028,945,9.87,3.5,#AI,29
2024-03-09,LinkedIn,UAE,55+,Tablet,Short,174561,15124,1776,896,1968905,523655,1926,17.21,8.59,#Marketing,30
2024-11-01,YouTube,Australia,45-54,iOS,Reel,17501,19951,3369,2579,960547,602286,96,4.95,6.46,#Reels,31
2024-11-07,TikTok,Australia,13-18,Android,Image,145309,4921,2888,662,1882261,103270,4176,6.81,2.14,#Marketing,32
2025-03-27,LinkedIn,UAE,13-18,Web,Image,23205,4300,4519,2938,1614487,1676402,3981,12.91,9.71,#Viral,33
2024-01-03,Facebook,India,18-24,Tablet,Video,138012,11021,3951,1824,1243958,1100859,3388,2.59,6.28,#Viral,34
2024-12-06,LinkedIn,India,13-18,Web,Short,124366,15276,3898,1064,631627,1140382,1940,16.19,8.59,#Tech,35
2024-02-09,Instagram,UK,13-18,Web,Video,63685,18893,3579,2240,1153822,1041616,2596,16.35,0.23,#Trending,36
2024-11-18,Instagram,UK,18-24,Web,Video,63493,5909,2215,280,1198974,1022831,2500,5.97,8.59,#Trending,37
2024-03-25,LinkedIn,UAE,45-54,Android,Video,75963,17094,3997,430,827095,867371,2288,5.69,10.27,#Tech,38
2024-02-17,Instagram,UK,13-18,Tablet,Short,51173,13079,2205,23,418435,999111,1148,4.58,3.39,#Shorts,39
2025-03-21,Facebook,India,18-24,Tablet,Video,64661,5441,259,1776,230554,1283355,715,6.65,0.87,#AI,40
2024-06-25,YouTube,Canada,45-54,Android,Carousel,80234,6374,3871,1805,1131246,1054773,2368,12.49,2.6,#Reels,41
2024-05-15,TikTok,USA,55+,Android,Image,120649,18985,1413,2955,1645630,1667899,4668,9.34,8.42,#AI,42
2024-12-27,LinkedIn,USA,25-34,Tablet,Reel,112881,10958,4142,1334,1357353,817186,4933,5.6,6.07,#Trending,43
2024-04-09,Twitter,India,18-24,Web,Reel,47756,3672,3550,336,223582,814510,3535,19.67,3.3,#Trending,44
2025-01-15,Instagram,UK,18-24,Web,Short,163128,13485,485,255,1630544,1123985,3457,8.32,9.5,#Tech,45
2024-12-14,Instagram,UK,45-54,Tablet,Short,27795,13120,2428,1465,1030685,249434,4337,6.56,3.85,#AI,46
2024-06-29,YouTube,UAE,35-44,iOS,Reel,77827,3319,2211,498,1145477,282804,1334,18.71,2.58,#Digital,47
2024-12-24,YouTube,USA,25-34,iOS,Carousel,66366,4202,1460,371,1087614,167264,2243,14.79,1.2,#Marketing,48
2024-12-19,LinkedIn,Canada,13-18,iOS,Image,23156,981,846,2034,988655,761246,4743,1.76,11.71,#Trending,49
2024-08-01,Twitter,Canada,35-44,Web,Carousel,140480,10620,1768,1748,1546920,863387,4116,3.7,7.07,#Digital,50
2024-04-28,TikTok,UAE,45-54,Web,Reel,13138,14446,3421,2979,1700289,1516037,4902,15.83,2.82,#Shorts,51
2024-12-16,Facebook,Canada,45-54,iOS,Reel,77433,17059,3857,2219,1267317,1737491,3367,8.58,5.98,#Reels,52
2025-02-15,TikTok,Australia,45-54,iOS,Image,190922,16266,3121,1149,1342983,1403864,3399,2.48,0.31,#Trending,53
2024-10-17,TikTok,India,35-44,iOS,Image,97833,12698,3517,1676,1702453,239662,3819,6.91,6.71,#Marketing,54
2025-04-26,Twitter,USA,45-54,Android,Short,144428,10382,3926,487,1028987,388468,4219,12.91,10.57,#Viral,55
2024-03-17,Twitter,Australia,25-34,iOS,Short,142561,7789,4615,1497,569849,738270,3435,12.79,8.63,#Reels,56
2024-06-17,Twitter,UK,35-44,Web,Carousel,117399,15086,905,17,1422950,1490709,4224,3.98,11.73,#Reels,57
2025-01-22,Facebook,India,55+,Web,Reel,47865,10603,2972,821,773402,1779686,4299,15.07,7.0,#AI,58
2024-04-16,YouTube,India,25-34,iOS,Carousel,92119,3966,1559,2394,361196,367940,4325,8.05,0.59,#Viral,59
2024-11-21,Facebook,Canada,55+,Web,Short,56467,13135,4567,2668,1363287,346640,3848,15.01,10.11,#Trending,60
2024-03-05,TikTok,UK,55+,Web,Video,85516,4579,1040,2506,360166,1284589,3833,12.87,0.54,#Reels,61
2024-11-27,YouTube,Australia,25-34,Web,Image,122466,3830,4609,497,755931,665510,1146,1.97,2.92,#Reels,62
2025-02-22,Facebook,USA,45-54,iOS,Reel,53538,6659,856,2738,528533,1462783,3840,3.53,6.64,#Shorts,63
2024-11-10,Twitter,India,25-34,Web,Reel,130643,12311,4519,842,1064854,1709354,198,15.0,7.9,#Marketing,64
2025-01-29,Facebook,Australia,35-44,Android,Video,81502,6190,3162,2735,1303535,1636742,4584,2.57,11.98,#Digital,65
2024-10-05,YouTube,Canada,45-54,iOS,Reel,174814,736,4699,1801,262795,1099479,525,4.43,9.78,#Reels,66
2024-07-24,YouTube,UK,13-18,Tablet,Reel,46104,478,1961,2603,963358,1694571,1587,17.32,1.7,#Digital,67
2024-05-26,TikTok,India,18-24,iOS,Video,50058,16839,3996,1836,1551735,1391730,4950,19.3,8.01,#Marketing,68
2025-04-29,Instagram,Australia,13-18,Web,Short,105152,10358,867,2200,1188146,749912,170,4.59,1.18,#Marketing,69
2024-09-28,Instagram,UAE,35-44,iOS,Image,197380,2227,1626,1703,1813151,162130,2591,4.65,7.29,#Marketing,70
2025-05-06,Twitter,India,45-54,Web,Short,82015,11874,2930,1969,1555956,480837,4450,9.84,6.38,#Marketing,71
2025-02-15,Facebook,India,35-44,Android,Video,37589,13350,720,2354,147544,310807,2216,3.9,2.56,#AI,72
2024-09-10,Twitter,India,45-54,Android,Carousel,37544,10456,305,65,208649,1315623,1552,12.62,10.92,#Trending,73
2025-05-07,YouTube,USA,55+,Web,Image,35507,2491,341,1608,552091,1774880,3514,14.95,4.85,#Tech,74
2024-06-07,Facebook,Canada,18-24,Tablet,Carousel,1435,16395,3791,696,571124,1735507,4866,15.25,7.78,#Reels,75
2024-06-29,Twitter,Australia,25-34,Web,Reel,165332,10077,970,1459,792861,1727632,3919,18.01,9.88,#Shorts,76
2024-03-11,Twitter,UK,25-34,Tablet,Image,134188,11928,1206,51,1853927,344202,1313,5.25,8.28,#Reels,77
2024-12-31,YouTube,Australia,25-34,Web,Carousel,14422,1108,2067,107,1788096,1393677,3076,19.25,6.54,#Tech,78
2025-01-06,YouTube,Canada,55+,Tablet,Carousel,65599,5990,4693,2954,1248853,252130,836,0.86,11.41,#AI,79
2024-06-03,Twitter,UAE,18-24,Android,Carousel,52220,4286,860,180,1414881,1013203,784,20.0,3.99,#Trending,80
2024-07-27,LinkedIn,Australia,55+,Tablet,Reel,23935,10586,3917,2543,502051,1705953,2328,11.89,1.71,#Shorts,81
2025-01-25,TikTok,UAE,35-44,Web,Image,118331,5056,3217,208,1617196,1101299,3844,13.78,9.88,#Tech,82
2024-09-27,LinkedIn,Canada,13-18,Android,Short,35127,5884,2706,2129,1189383,359185,3306,3.45,6.74,#Viral,83
2024-09-12,Twitter,India,13-18,iOS,Reel,85427,19113,1241,1083,393984,331937,2860,2.88,11.77,#Digital,84
2024-09-01,Facebook,Australia,13-18,Web,Image,94273,4019,2366,2345,876657,1705115,4226,6.06,6.65,#AI,85
2024-12-25,TikTok,USA,18-24,Tablet,Carousel,80109,7997,3703,1673,1178267,975766,4545,11.58,8.25,#Tech,86
2025-04-04,LinkedIn,USA,35-44,Tablet,Video,197217,17416,2852,2015,780433,1604028,2719,2.98,1.84,#Trending,87
2025-03-14,Instagram,India,35-44,Android,Video,143659,4489,4564,2314,1632667,1065349,1578,18.72,1.84,#AI,88
2025-03-31,Twitter,UK,35-44,Tablet,Reel,135131,16633,3028,2932,919522,866884,511,15.51,5.2,#Shorts,89
2024-05-09,Instagram,India,13-18,Android,Short,183916,19339,4133,1284,861657,25222,2997,6.78,3.13,#Viral,90
2024-02-13,Twitter,Canada,13-18,Tablet,Short,124242,1663,359,309,1186505,20423,4035,19.7,11.43,#Marketing,91
2024-07-05,LinkedIn,Australia,13-18,iOS,Image,63873,9585,4989,1567,502698,84605,322,19.62,5.19,#Trending,92
2024-12-23,Facebook,USA,13-18,Android,Video,187471,11924,4402,823,956351,1106430,3247,6.79,11.16,#Digital,93
2024-07-02,Facebook,UAE,18-24,Web,Carousel,137286,7843,1685,483,670834,1577156,1105,15.37,1.64,#Shorts,94
2024-01-26,Instagram,Canada,13-18,Tablet,Short,50425,7546,2148,178,71094,186529,4343,4.95,11.93,#AI,95
2025-03-10,TikTok,UAE,35-44,Web,Short,179952,16041,4647,556,202592,1583475,1894,2.95,3.66,#Shorts,96
2025-04-13,TikTok,India,55+,Tablet,Video,22409,12838,2349,2327,928967,1015949,1014,15.84,7.51,#Marketing,97
2024-11-08,Instagram,USA,35-44,Android,Carousel,13198,4132,4083,44,1192360,1786077,4364,11.67,7.05,#Shorts,98
2024-11-01,Twitter,Canada,55+,Android,Image,86008,14580,545,1607,633827,70445,1804,10.03,11.94,#Digital,99
2024-09-25,Instagram,India,35-44,Android,Image,78055,6422,3423,2439,953806,1315453,3067,10.05,10.04,#Shorts,100
2024-01-19,Instagram,India,45-54,iOS,Image,187032,9105,3071,1682,1328743,465979,2409,20.0,2.46,#Trending,101
2025-04-10,LinkedIn,UK,35-44,Web,Image,91239,1442,653,1498,960297,1278601,4800,12.94,6.72,#Marketing,102
2024-01-02,TikTok,USA,18-24,Tablet,Video,127126,17285,2404,323,241979,703369,4280,15.44,2.53,#Viral,103
2024-02-21,Facebook,UAE,18-24,Android,Image,133272,9897,3746,1802,1606454,1607096,1032,1.26,5.62,#AI,104
2025-03-04,Twitter,Canada,55+,Web,Video,61409,16878,4577,234,41512,1118666,1274,15.88,2.45,#Tech,105
2025-01-08,LinkedIn,UK,13-18,iOS,Short,130399,17398,1267,2407,1690518,1729114,2886,1.83,7.08,#Reels,106
2024-08-21,Facebook,Australia,35-44,Tablet,Video,186700,6566,2099,830,1707296,1199426,2947,0.88,9.83,#Shorts,107
2024-10-31,Facebook,UK,35-44,iOS,Reel,195932,8287,3480,1837,593283,589805,4611,11.28,0.54,#Viral,108
2024-02-26,YouTube,UAE,55+,Web,Reel,172144,14486,2727,535,189163,255307,3234,15.52,9.84,#Shorts,109
2025-04-20,YouTube,India,55+,iOS,Short,127442,8524,468,472,290101,1119276,1520,9.58,1.97,#Trending,110
2025-03-09,Instagram,Australia,35-44,Tablet,Carousel,173102,19547,2304,2239,997176,829197,887,0.68,8.76,#Reels,111
2024-12-08,Instagram,India,18-24,Tablet,Reel,163241,11942,4417,2989,1598499,718668,3461,9.72,11.16,#Viral,112
2024-01-04,YouTube,Canada,18-24,Web,Video,24670,15048,336,2109,1952241,1210411,4504,13.09,5.7,#Shorts,113
2024-03-08,LinkedIn,UK,35-44,Web,Short,34236,1092,2396,2941,979125,335716,4153,4.48,1.7,#Marketing,114
2024-05-19,Twitter,Canada,13-18,Android,Carousel,102864,3742,4984,947,812122,1129156,3831,9.45,7.54,#Shorts,115
2024-05-29,LinkedIn,UK,55+,Android,Reel,105011,19297,320,2565,741842,218366,3132,19.11,0.72,#Trending,116
2025-04-18,Facebook,Canada,13-18,Web,Carousel,164113,4929,4625,584,1201566,607831,4065,8.96,10.06,#Digital,117
2024-04-13,Facebook,India,18-24,Android,Image,11115,2287,1207,1211,636766,1514222,3147,10.46,0.8,#Trending,118
2025-05-04,LinkedIn,UAE,45-54,Web,Image,169947,5255,4234,561,1303642,1173300,3145,10.36,0.57,#Reels,119
2024-12-20,Instagram,Australia,35-44,iOS,Image,95134,10631,1099,1646,191346,45791,3694,15.37,1.13,#Trending,120
2024-01-04,Facebook,Australia,18-24,Tablet,Reel,95331,14646,1639,1125,425829,1218373,721,19.81,9.28,#Viral,121
2025-01-30,LinkedIn,Australia,35-44,Tablet,Carousel,152974,13590,1476,1260,431265,1108216,4538,2.29,10.82,#Trending,122
2024-09-16,YouTube,India,18-24,Android,Reel,129516,19671,1448,392,1321148,100047,3326,2.56,10.1,#Marketing,123
2024-08-31,Twitter,Canada,18-24,Web,Carousel,42526,9158,956,718,1074934,806687,1791,11.68,3.3,#Tech,124
2024-08-10,LinkedIn,India,25-34,Android,Video,14209,18356,974,1347,1442381,492550,550,19.42,2.66,#Trending,125
2024-09-19,TikTok,Canada,45-54,Tablet,Video,53279,4379,3847,2603,1518476,1700840,4062,3.5,11.56,#Digital,126
2024-09-22,Twitter,Canada,18-24,Android,Reel,14535,18602,3227,474,981026,1768887,931,17.9,6.0,#AI,127
2024-03-28,Instagram,India,25-34,Web,Carousel,40864,6192,352,866,1651517,388231,4425,8.19,10.98,#Digital,128
2024-01-15,LinkedIn,Canada,18-24,Tablet,Video,149621,3562,4632,451,1366839,533699,4851,9.44,9.81,#Shorts,129
2025-05-01,Instagram,UAE,25-34,Web,Carousel,191231,13003,1569,514,1920672,633951,3822,13.06,9.18,#Reels,130
2025-04-12,Facebook,Australia,55+,Tablet,Video,47161,4913,4665,2191,1185413,1600763,2459,14.14,10.72,#Reels,131
2025-01-12,TikTok,Canada,25-34,Web,Carousel,119655,9263,871,2446,376638,997490,3873,5.52,6.09,#Marketing,132
2024-07-17,Twitter,Canada,45-54,Tablet,Reel,94422,4626,4736,2723,1778640,471836,1042,6.8,9.45,#Viral,133
2024-05-20,Twitter,USA,35-44,Android,Reel,83421,15126,2667,1337,1651471,692875,604,5.89,2.04,#Tech,134
2025-03-14,Facebook,Australia,35-44,Tablet,Short,18838,4421,4169,1916,18408,464811,1574,17.89,1.08,#Shorts,135
2024-01-28,LinkedIn,Australia,25-34,Android,Video,95391,5234,3568,1240,985496,1791806,1852,13.89,9.88,#Digital,136
2024-10-21,YouTube,UK,18-24,Web,Image,181759,17136,3050,135,1043741,1744739,1396,6.3,5.87,#Reels,137
2025-02-05,YouTube,USA,45-54,Tablet,Short,68696,8738,554,569,1911497,1360007,4156,2.55,8.25,#Reels,138
2025-03-21,TikTok,Australia,45-54,Web,Image,103545,5563,620,2392,1721502,676008,4788,0.91,1.04,#Marketing,139
2025-01-01,Twitter,USA,55+,iOS,Video,102133,13144,4976,2764,806498,1300215,4619,17.44,5.85,#Shorts,140
2024-11-26,LinkedIn,Australia,45-54,Tablet,Reel,29959,4580,4498,1964,279032,61924,1600,4.73,10.86,#Digital,141
2024-12-21,Twitter,UK,18-24,Android,Image,182849,8441,4722,2279,1598846,1529848,2639,3.57,9.48,#Marketing,142
2024-04-26,Twitter,India,35-44,iOS,Reel,115244,11697,2944,1448,193895,770838,2930,19.78,5.24,#Viral,143
2024-04-09,Instagram,USA,45-54,Android,Short,56489,9668,660,460,547706,1522042,3529,3.65,4.5,#Viral,144
2024-07-12,YouTube,USA,35-44,Android,Short,128327,17273,323,2276,1927489,797778,1126,13.3,3.04,#Digital,145
2024-10-30,LinkedIn,UK,55+,Android,Reel,82665,18404,4343,1802,1611503,890500,316,4.74,5.39,#Digital,146
2025-05-08,TikTok,Canada,35-44,Web,Carousel,126032,6528,180,1024,1032159,1737177,3162,12.52,10.73,#Shorts,147
2024-01-17,Twitter,India,18-24,Web,Video,119015,1132,1958,741,1786950,657827,4282,13.62,4.51,#Trending,148
2024-05-13,LinkedIn,USA,13-18,Web,Carousel,90647,19386,2060,620,206554,474930,4241,17.4,9.13,#AI,149
2024-12-26,TikTok,India,35-44,Web,Short,46286,18398,2881,776,557007,609400,2648,10.6,6.13,#Digital,150
2024-04-19,LinkedIn,Canada,45-54,Web,Video,152271,16826,1982,598,171750,1362944,4706,16.81,1.57,#Shorts,151
2024-03-27,LinkedIn,UAE,55+,Android,Carousel,188357,1513,2403,355,1323575,88392,1518,2.52,11.3,#Tech,152
2024-02-16,YouTube,Canada,18-24,iOS,Image,82498,17931,970,1325,1379386,244064,4916,7.43,4.56,#Trending,153
2024-09-28,Facebook,UK,18-24,iOS,Carousel,96067,6225,4481,26,1361251,1594625,1077,0.75,5.44,#Reels,154
2024-11-11,YouTube,Canada,18-24,iOS,Reel,33541,19570,909,1729,129929,110862,3542,7.72,4.41,#Tech,155
2024-10-23,LinkedIn,Australia,45-54,iOS,Image,142441,240,4693,1384,127478,1692029,4304,1.28,1.49,#Tech,156
2025-02-13,YouTube,Canada,55+,Web,Reel,56133,1419,479,2252,157813,861044,2988,19.41,5.49,#Reels,157
2024-10-28,TikTok,Canada,25-34,Tablet,Image,35498,5762,1706,2939,1079073,640399,3512,12.16,10.26,#Digital,158
2025-03-09,TikTok,USA,18-24,iOS,Short,118046,14889,2848,2938,819127,418254,3497,8.39,10.3,#Marketing,159
2024-09-13,Instagram,UK,35-44,Tablet,Video,51445,1182,1508,2931,1424867,770254,4827,11.91,2.84,#Viral,160
2025-02-23,YouTube,Australia,18-24,Tablet,Image,193880,17537,1894,1657,500637,720953,2820,7.9,1.96,#Tech,161
2025-02-17,LinkedIn,India,55+,Tablet,Short,163543,1424,2648,1797,1414180,765278,4670,1.45,8.61,#Trending,162
2025-01-20,TikTok,UK,55+,Tablet,Short,41066,2210,1672,1061,857124,600557,2596,16.17,10.49,#Digital,163
2025-04-12,YouTube,UAE,25-34,iOS,Video,77075,14254,2014,1358,254618,332187,311,3.41,5.51,#Trending,164
2024-11-20,Instagram,Australia,35-44,iOS,Video,12183,17310,1464,1994,1644860,882115,145,12.07,0.53,#Trending,165
